ticker,rows,start_date,end_date,duplicate_records,missing_price_values,invalid_dates,non_positive_prices,abnormal_price_moves
AAPL,2926,2015-01-02,2026-08-21,0,0,0,0,0
ABBV,2926,2015-01-02,2026-08-21,0,0,0,0,0
ABT,2926,2015-01-02,2026-08-21,0,0,0,0,0
ACN,2926,2015-01-02,2026-08-21,0,0,0,0,0
ADBE,2926,2015-01-02,2026-08-21,0,0,0,0,0
AMD,2926,2015-01-02,2026-08-21,0,0,0,0,1
AMGN,2926,2015-01-02,2026-08-21,0,0,0,0,0
AMZN,2926,2015-01-02,2026-08-21,0,0,0,0,0
AVGO,2926,2015-01-02,2026-08-21,0,0,0,0,0
BAC,2926,2015-01-02,2026-08-21,0,0,0,0,0
CAT,2926,2015-01-02,2026-08-21,0,0,0,0,0
COP,2926,2015-01-02,2026-08-21,0,0,0,0,0
COST,2926,2015-01-02,2026-08-21,0,0,0,0,0
CRM,2926,2015-01-02,2026-08-21,0,0,0,0,0
CSCO,2926,2015-01-02,2026-08-21,0,0,0,0,0
CVX,2926,2015-01-02,2026-08-21,0,0,0,0,0
DIS,2926,2015-01-02,2026-08-21,0,0,0,0,0
GE,2926,2015-01-02,2026-08-21,0,0,0,0,0
GOOGL,2926,2015-01-02,2026-08-21,0,0,0,0,0
GS,2926,2015-01-02,2026-08-21,0,0,0,0,0
HD,2926,2015-01-02,2026-08-21,0,0,0,0,0
HON,2926,2015-01-02,2026-08-21,0,0,0,0,0
IBM,2926,2015-01-02,2026-08-21,0,0,0,0,0
JNJ,2926,2015-01-02,2026-08-21,0,0,0,0,0
JPM,2926,2015-01-02,2026-08-21,0,0,0,0,0
KO,2926,2015-01-02,2026-08-21,0,0,0,0,0
LIN,2926,2015-01-02,2026-08-21,0,0,0,0,0
LLY,2926,2015-01-02,2026-08-21,0,0,0,0,0
LOW,2926,2015-01-02,2026-08-21,0,0,0,0,0
MA,2926,2015-01-02,2026-08-21,0,0,0,0,0
MCD,2926,2015-01-02,2026-08-21,0,0,0,0,0
META,2926,2015-01-02,2026-08-21,0,0,0,0,0
MRK,2926,2015-01-02,2026-08-21,0,0,0,0,0
MS,2926,2015-01-02,2026-08-21,0,0,0,0,0
MSFT,2926,2015-01-02,2026-08-21,0,0,0,0,0
NFLX,2926,2015-01-02,2026-08-21,0,0,0,0,0
NKE,2926,2015-01-02,2026-08-21,0,0,0,0,0
NVDA,2926,2015-01-02,2026-08-21,0,0,0,0,0
ORCL,2926,2015-01-02,2026-08-21,0,0,0,0,0
PEP,2926,2015-01-02,2026-08-21,0,0,0,0,0
PG,2926,2015-01-02,2026-08-21,0,0,0,0,0
QCOM,2926,2015-01-02,2026-08-21,0,0,0,0,0
SPY,2926,2015-01-02,2026-08-21,0,0,0,0,0
TMO,2926,2015-01-02,2026-08-21,0,0,0,0,0
TSLA,2926,2015-01-02,2026-08-21,0,0,0,0,0
TXN,2926,2015-01-02,2026-08-21,0,0,0,0,0
UNH,2926,2015-01-02,2026-08-21,0,0,0,0,0
UPS,2926,2015-01-02,2026-08-21,0,0,0,0,0
V,2926,2015-01-02,2026-08-21,0,0,0,0,0
WMT,2926,2015-01-02,2026-08-21,0,0,0,0,0
XOM,2926,2015-01-02,2026-08-21,0,0,0,0,0
